gvkey,cik,conm,Role,Source,Date,Time,Title,Content
180249,1368308,REMARK HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
180249,1368308,REMARK HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
178494,1368365,SALLY BEAUTY HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
178494,1368365,SALLY BEAUTY HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
175900,1368458,ADMA BIOLOGICS INC,"CEO, Chief Executive Officer",,,,,
175900,1368458,ADMA BIOLOGICS INC,"CFO, Chief Financial Officer",,,,,
17653,1368514,NORTH AMERICAN CONST GRP LTD,"CEO, Chief Executive Officer",,,,,
17653,1368514,NORTH AMERICAN CONST GRP LTD,"CFO, Chief Financial Officer",,,,,
176103,1368519,AEROVIRONMENT INC,"CEO, Chief Executive Officer",,,,,
176103,1368519,AEROVIRONMENT INC,"CFO, Chief Financial Officer",,,,,
176362,1368622,START SCIENTIFIC INC,"CEO, Chief Executive Officer",,,,,
176362,1368622,START SCIENTIFIC INC,"CFO, Chief Financial Officer",,,,,
6683,1368761,TINKA RESOURCES LTD,"CEO, Chief Executive Officer",,,,,
6683,1368761,TINKA RESOURCES LTD,"CFO, Chief Financial Officer",,,,,
152752,1368845,WESTJET AIRLINES LTD,"CEO, Chief Executive Officer",,,,,
152752,1368845,WESTJET AIRLINES LTD,"CFO, Chief Financial Officer",,,,,
122017,1368869,WAFERGEN BIO-SYSTEMS INC,"CEO, Chief Executive Officer",,,,,
122017,1368869,WAFERGEN BIO-SYSTEMS INC,"CFO, Chief Financial Officer",,,,,
176199,1368993,DANAOS CORP,"CEO, Chief Executive Officer",,,,,
176199,1368993,DANAOS CORP,"CFO, Chief Financial Officer",,,,,
175606,1369241,MYOMO INC,"CEO, Chief Executive Officer",,,,,
175606,1369241,MYOMO INC,"CFO, Chief Financial Officer",,,,,
31805,1369290,APOLLO ENDOSURGERY INC,"CEO, Chief Executive Officer",,,,,
31805,1369290,APOLLO ENDOSURGERY INC,"CFO, Chief Financial Officer",,,,,
29687,1369432,CATALYST PHARMACEUTICALS INC,"CEO, Chief Executive Officer",,,,,
29687,1369432,CATALYST PHARMACEUTICALS INC,"CFO, Chief Financial Officer",,,,,
175966,1369568,SHINER INTERNATIONAL INC,"CEO, Chief Executive Officer",,,,,
175966,1369568,SHINER INTERNATIONAL INC,"CFO, Chief Financial Officer",,,,,
176726,1369774,SAGENT PHARMACEUTICALS INC,"CEO, Chief Executive Officer",,,,,
176726,1369774,SAGENT PHARMACEUTICALS INC,"CFO, Chief Financial Officer",,,,,
186045,1369786,ONEBEACON INSURANCE GROUP,"CEO, Chief Executive Officer",,,,,
186045,1369786,ONEBEACON INSURANCE GROUP,"CFO, Chief Financial Officer",,,,,
175688,1369817,CHINA BIOLOGIC PRODUCTS HLDG,"CEO, Chief Executive Officer",,,,,
175688,1369817,CHINA BIOLOGIC PRODUCTS HLDG,"CFO, Chief Financial Officer",,,,,
175079,1369868,ANAPTYSBIO INC,"CEO, Chief Executive Officer",,,,,
175079,1369868,ANAPTYSBIO INC,"CFO, Chief Financial Officer",,,,,
26162,1370053,WESTPORT FUEL SYSTEMS INC,"CEO, Chief Executive Officer",,,,,
26162,1370053,WESTPORT FUEL SYSTEMS INC,"CFO, Chief Financial Officer",,,,,
108831,1370416,VEDANTA LTD,"CEO, Chief Executive Officer",,,,,
108831,1370416,VEDANTA LTD,"CFO, Chief Financial Officer",,,,,
208323,1370431,WILLDAN GROUP INC,"CEO, Chief Executive Officer",,,,,
208323,1370431,WILLDAN GROUP INC,"CFO, Chief Financial Officer",,,,,
175654,1370450,BLUEFIRE RENEWABLES INC,"CEO, Chief Executive Officer",,,,,
175654,1370450,BLUEFIRE RENEWABLES INC,"CFO, Chief Financial Officer",,,,,
30276,1370489,ETSY INC,"CEO, Chief Executive Officer",,,,,
30276,1370489,ETSY INC,"CFO, Chief Financial Officer",,,,,
23238,1370637,QUANTENNA COMMUNICATIONS INC,"CEO, Chief Executive Officer",,,,,
23238,1370637,QUANTENNA COMMUNICATIONS INC,"CFO, Chief Financial Officer",,,,,
28424,1370702,BLACKROCK TCP CAPITAL,"CEO, Chief Executive Officer",,,,,
28424,1370702,BLACKROCK TCP CAPITAL,"CFO, Chief Financial Officer",,,,,
171023,1370755,FIREEYE INC,"CEO, Chief Executive Officer",,,,,
171023,1370755,FIREEYE INC,"CFO, Chief Financial Officer",,,,,
18487,1370880,OWENS CORNING,"CEO, Chief Executive Officer",,,,,
18487,1370880,OWENS CORNING,"CFO, Chief Financial Officer",,,,,
8214,1370946,RESHAPE LIFESCIENCES INC,"CEO, Chief Executive Officer",,,,,
8214,1370946,RESHAPE LIFESCIENCES INC,"CFO, Chief Financial Officer",,,,,
178847,1371217,TRUPANION INC,"CEO, Chief Executive Officer",,,,,
178847,1371217,TRUPANION INC,"CFO, Chief Financial Officer",,,,,
20935,1371285,MERREX GOLD INC,"CEO, Chief Executive Officer",,,,,
20935,1371285,MERREX GOLD INC,"CFO, Chief Financial Officer",,,,,
107188,1371410,FBR & CO,"CEO, Chief Executive Officer",,,,,
107188,1371410,FBR & CO,"CFO, Chief Financial Officer",,,,,
175131,1371446,INFORMATION SERVICES GROUP,"CEO, Chief Executive Officer",,,,,
175131,1371446,INFORMATION SERVICES GROUP,"CFO, Chief Financial Officer",,,,,
176251,1371489,HANWHA Q CELLS CO LTD,"CEO, Chief Executive Officer",,,,,
176251,1371489,HANWHA Q CELLS CO LTD,"CFO, Chief Financial Officer",,,,,
176305,1371541,UNIVERSAL POWER GROUP INC,"CEO, Chief Executive Officer",,,,,
176305,1371541,UNIVERSAL POWER GROUP INC,"CFO, Chief Financial Officer",,,,,
176325,1372000,GREAT LAKES DREDGE & DOCK CP,"CEO, Chief Executive Officer",,,,,
176325,1372000,GREAT LAKES DREDGE & DOCK CP,"CFO, Chief Financial Officer",,,,,
148223,1372020,MONAKER GROUP INC,"CEO, Chief Executive Officer",,,,,
148223,1372020,MONAKER GROUP INC,"CFO, Chief Financial Officer",,,,,
179447,1372183,RADIANT CREATIONS GROUP INC,"CEO, Chief Executive Officer",,,,,
179447,1372183,RADIANT CREATIONS GROUP INC,"CFO, Chief Financial Officer",,,,,
177452,1372184,HISTOGENICS CORP,"CEO, Chief Executive Officer",,,,,
177452,1372184,HISTOGENICS CORP,"CFO, Chief Financial Officer",,,,,
22229,1372299,MILLENNIAL MEDIA INC,"CEO, Chief Executive Officer",,,,,
22229,1372299,MILLENNIAL MEDIA INC,"CFO, Chief Financial Officer",,,,,
170458,1372375,AEROHIVE NETWORKS INC,"CEO, Chief Executive Officer",,,,,
170458,1372375,AEROHIVE NETWORKS INC,"CFO, Chief Financial Officer",,,,,
19898,1372414,EYEGATE PHARMACEUTICALS INC,"CEO, Chief Executive Officer",,,,,
19898,1372414,EYEGATE PHARMACEUTICALS INC,"CFO, Chief Financial Officer",,,,,
21282,1372514,BOX INC,"CEO, Chief Executive Officer",,,,,
21282,1372514,BOX INC,"CFO, Chief Financial Officer",,,,,
20088,1372612,KCAP FINANCIAL INC,"CEO, Chief Executive Officer",,,,,
20088,1372612,KCAP FINANCIAL INC,"CFO, Chief Financial Officer",,,,,
176256,1372807,RESVERLOGIX CORP,"CEO, Chief Executive Officer",,,,,
176256,1372807,RESVERLOGIX CORP,"CFO, Chief Financial Officer",,,,,
145577,1372821,NEW ORIENTAL ED & TECH,"CEO, Chief Executive Officer",,,,,
145577,1372821,NEW ORIENTAL ED & TECH,"CFO, Chief Financial Officer",,,,,
175442,1372920,MINDRAY MEDICAL INTL,"CEO, Chief Executive Officer",,,,,
175442,1372920,MINDRAY MEDICAL INTL,"CFO, Chief Financial Officer",,,,,
175612,1373060,ALLIANCE BANCORP OF PA,"CEO, Chief Executive Officer",,,,,
175612,1373060,ALLIANCE BANCORP OF PA,"CFO, Chief Financial Officer",,,,,
31576,1373079,CROSS BORDER RESOURCES INC,"CEO, Chief Executive Officer",,,,,
31576,1373079,CROSS BORDER RESOURCES INC,"CFO, Chief Financial Officer",,,,,
186212,1373485,FIRST CAPITAL BANCORP INC/VA,"CEO, Chief Executive Officer",,,,,
186212,1373485,FIRST CAPITAL BANCORP INC/VA,"CFO, Chief Financial Officer",,,,,
118046,1373525,NEWSTAR FINANCIAL INC,"CEO, Chief Executive Officer",,,,,
118046,1373525,NEWSTAR FINANCIAL INC,"CFO, Chief Financial Officer",,,,,
176239,1373561,GREEN BRICK PARTNERS INC,"CEO, Chief Executive Officer",,,,,
176239,1373561,GREEN BRICK PARTNERS INC,"CFO, Chief Financial Officer",,,,,
22047,1373670,TETRAPHASE PHARMACEUTICALS,"CEO, Chief Executive Officer",,,,,
22047,1373670,TETRAPHASE PHARMACEUTICALS,"CFO, Chief Financial Officer",,,,,
17350,1373707,SERVICENOW INC,"CEO, Chief Executive Officer",,,,,
17350,1373707,SERVICENOW INC,"CFO, Chief Financial Officer",,,,,
171007,1373715,SPECTRA ENERGY CORP,"CEO, Chief Executive Officer",,,,,
171007,1373715,SPECTRA ENERGY CORP,"CFO, Chief Financial Officer",,,,,
176282,1373835,ESSEX RENTAL CORP,"CEO, Chief Executive Officer",,,,,
176282,1373835,ESSEX RENTAL CORP,"CFO, Chief Financial Officer",,,,,
183480,1373988,ENTELLUS MEDICAL INC,"CEO, Chief Executive Officer",,,,,
183480,1373988,ENTELLUS MEDICAL INC,"CFO, Chief Financial Officer",,,,,
22667,1374128,CBOE GLOBAL MARKETS INC,"CEO, Chief Executive Officer",,,,,
22667,1374128,CBOE GLOBAL MARKETS INC,"CFO, Chief Financial Officer",,,,,
184500,1374310,FITLIFE BRANDS INC,"CEO, Chief Executive Officer",,,,,
184500,1374310,FITLIFE BRANDS INC,"CFO, Chief Financial Officer",,,,,
178413,1374328,INTESA SANPAOLO SPA,"CEO, Chief Executive Officer",,,,,
178413,1374328,INTESA SANPAOLO SPA,"CFO, Chief Financial Officer",,,,,
16348,1374384,JURA ENERGY CORP,"CEO, Chief Executive Officer",,,,,
16348,1374384,JURA ENERGY CORP,"CFO, Chief Financial Officer",,,,,
12686,1374415,ALTRA INDUSTRIAL MOTION CORP,"CEO, Chief Executive Officer",,,,,
12686,1374415,ALTRA INDUSTRIAL MOTION CORP,"CFO, Chief Financial Officer",,,,,
176247,1374535,MULESOFT INC,"CEO, Chief Executive Officer",,,,,
176247,1374535,MULESOFT INC,"CFO, Chief Financial Officer",,,,,
30535,1374684,ZAFGEN INC,"CEO, Chief Executive Officer",,,,,
30535,1374684,ZAFGEN INC,"CFO, Chief Financial Officer",,,,,
20742,1374690,KESSELRING HOLDING CORP,"CEO, Chief Executive Officer",,,,,
20742,1374690,KESSELRING HOLDING CORP,"CFO, Chief Financial Officer",,,,,
176412,1374881,SYNTHESIS ENERGY SYSTEMS INC,"CEO, Chief Executive Officer",,,,,
176412,1374881,SYNTHESIS ENERGY SYSTEMS INC,"CFO, Chief Financial Officer",,,,,
160592,1375063,ZOGENIX INC,"CEO, Chief Executive Officer",,,,,
160592,1375063,ZOGENIX INC,"CFO, Chief Financial Officer",,,,,
179686,1375151,THE CORETEC GROUP INC,"CEO, Chief Executive Officer",,,,,
179686,1375151,THE CORETEC GROUP INC,"CFO, Chief Financial Officer",,,,,
28554,1375195,UR ENERGY INC,"CEO, Chief Executive Officer",,,,,
28554,1375195,UR ENERGY INC,"CFO, Chief Financial Officer",,,,,
165637,1375205,HAMPDEN BANCORP INC,"CEO, Chief Executive Officer",,,,,
165637,1375205,HAMPDEN BANCORP INC,"CFO, Chief Financial Officer",,,,,
176479,1375320,SUPER MICRO COMPUTER INC,"CEO, Chief Executive Officer",,,,,
176479,1375320,SUPER MICRO COMPUTER INC,"CFO, Chief Financial Officer",,,,,
176567,1375365,GUIDANCE SOFTWARE INC,"CEO, Chief Executive Officer",,,,,
176567,1375365,GUIDANCE SOFTWARE INC,"CFO, Chief Financial Officer",,,,,
176255,1375557,THT HEAT TRANSFER TECH INC,"CEO, Chief Executive Officer",,,,,
176255,1375557,THT HEAT TRANSFER TECH INC,"CFO, Chief Financial Officer",,,,,
178172,1375686,TELARIA INC,"CEO, Chief Executive Officer",,,,,
178172,1375686,TELARIA INC,"CFO, Chief Financial Officer",,,,,
18066,1375796,RR MEDIA LTD,"CEO, Chief Executive Officer",,,,,
18066,1375796,RR MEDIA LTD,"CFO, Chief Financial Officer",,,,,
175948,1375829,CANADIAN SOLAR INC,"CEO, Chief Executive Officer",,,,,
175948,1375829,CANADIAN SOLAR INC,"CFO, Chief Financial Officer",,,,,
175982,1375877,CVR ENERGY INC,"CEO, Chief Executive Officer",,,,,
175982,1375877,CVR ENERGY INC,"CFO, Chief Financial Officer",,,,,
178672,1376139,VPR BRANDS LP,"CEO, Chief Executive Officer",,,,,
178672,1376139,VPR BRANDS LP,"CFO, Chief Financial Officer",,,,,
179141,1376231,CHINANET ONLINE HOLDINGS,"CEO, Chief Executive Officer",,,,,
179141,1376231,CHINANET ONLINE HOLDINGS,"CFO, Chief Financial Officer",,,,,
183224,1376321,MIMEDX GROUP INC,"CEO, Chief Executive Officer",,,,,
183224,1376321,MIMEDX GROUP INC,"CFO, Chief Financial Officer",,,,,
178157,1376339,PETROWEST CORP,"CEO, Chief Executive Officer",,,,,
178157,1376339,PETROWEST CORP,"CFO, Chief Financial Officer",,,,,
175496,1376526,HYCROFT MINING CORP,"CEO, Chief Executive Officer",,,,,
175496,1376526,HYCROFT MINING CORP,"CFO, Chief Financial Officer",,,,,
177405,1376610,LATITUDE 360 INC,"CEO, Chief Executive Officer",,,,,
177405,1376610,LATITUDE 360 INC,"CFO, Chief Financial Officer",,,,,
20775,1376755,CAVITATION TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
20775,1376755,CAVITATION TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
177281,1376793,HOMEINNS HOTEL GROUP,"CEO, Chief Executive Officer",,,,,
177281,1376793,HOMEINNS HOTEL GROUP,"CFO, Chief Financial Officer",,,,,
175904,1376972,TENNESSEE VALLEY AUTHORITY,"CEO, Chief Executive Officer",,,,,
175904,1376972,TENNESSEE VALLEY AUTHORITY,"CFO, Chief Financial Officer",,,,,
10447,1376986,TIME WARNER CABLE INC,"CEO, Chief Executive Officer",,,,,
10447,1376986,TIME WARNER CABLE INC,"CFO, Chief Financial Officer",,,,,
176404,1377013,LUNDIN MINING CORP,"CEO, Chief Executive Officer",,,,,
176404,1377013,LUNDIN MINING CORP,"CFO, Chief Financial Officer",,,,,
108297,1377085,PROTAGONIST THERAPEUTICS INC,"CEO, Chief Executive Officer",,,,,
108297,1377085,PROTAGONIST THERAPEUTICS INC,"CFO, Chief Financial Officer",,,,,
27670,1377121,CAREVIEW COMMUNICATIONS INC,"CEO, Chief Executive Officer",,,,,
27670,1377121,CAREVIEW COMMUNICATIONS INC,"CFO, Chief Financial Officer",,,,,
160367,1377149,NATIONAL CINEMEDIA INC,"CEO, Chief Executive Officer",,,,,
160367,1377149,NATIONAL CINEMEDIA INC,"CFO, Chief Financial Officer",,,,,
176523,1377630,ST ANDREW GOLDFIELDS LTD,"CEO, Chief Executive Officer",,,,,
176523,1377630,ST ANDREW GOLDFIELDS LTD,"CFO, Chief Financial Officer",,,,,
20735,1377673,ASANKO GOLD INC,"CEO, Chief Executive Officer",,,,,
20735,1377673,ASANKO GOLD INC,"CFO, Chief Financial Officer",,,,,
144183,1377757,AVIAT NETWORKS INC,"CEO, Chief Executive Officer",,,,,
144183,1377757,AVIAT NETWORKS INC,"CFO, Chief Financial Officer",,,,,
176572,1377789,SARATOGA INVESTMENT CORP,"CEO, Chief Executive Officer",,,,,
176572,1377789,SARATOGA INVESTMENT CORP,"CFO, Chief Financial Officer",,,,,
176999,1377936,OCEAN POWER TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
176999,1377936,OCEAN POWER TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
260737,1378140,GRUPO AEROPORTUARIO DEL CENT,"CEO, Chief Executive Officer",,,,,
260737,1378140,GRUPO AEROPORTUARIO DEL CENT,"CFO, Chief Financial Officer",,,,,
176152,1378239,TRAVELCENTERS OF AMERICA LLC,"CEO, Chief Executive Officer",,,,,
176152,1378239,TRAVELCENTERS OF AMERICA LLC,"CFO, Chief Financial Officer",,,,,
148350,1378453,ZHAOPIN LTD  ,"CEO, Chief Executive Officer",,,,,
148350,1378453,ZHAOPIN LTD  ,"CFO, Chief Financial Officer",,,,,
20526,1378564,BRIDGELINE DIGITAL INC,"CEO, Chief Executive Officer",,,,,
20526,1378564,BRIDGELINE DIGITAL INC,"CFO, Chief Financial Officer",,,,,
176768,1378590,CELLULAR BIOMEDICINE GROUP,"CEO, Chief Executive Officer",,,,,
176768,1378590,CELLULAR BIOMEDICINE GROUP,"CFO, Chief Financial Officer",,,,,
177179,1378624,AMERICAN DG ENERGY INC,"CEO, Chief Executive Officer",,,,,
177179,1378624,AMERICAN DG ENERGY INC,"CFO, Chief Financial Officer",,,,,
178676,1378706,WESCO AIRCRAFT HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
178676,1378706,WESCO AIRCRAFT HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
187714,1378718,AERCAP HOLDINGS NV,"CEO, Chief Executive Officer",,,,,
187714,1378718,AERCAP HOLDINGS NV,"CFO, Chief Financial Officer",,,,,
176092,1378789,MMX MINERACAO E METALICOS SA,"CEO, Chief Executive Officer",,,,,
176092,1378789,MMX MINERACAO E METALICOS SA,"CFO, Chief Financial Officer",,,,,
278461,1378845,PEOPLE'S UNITED FINL INC,"CEO, Chief Executive Officer",,,,,
278461,1378845,PEOPLE'S UNITED FINL INC,"CFO, Chief Financial Officer",,,,,
16245,1378946,US AUTO PARTS NETWORK INC,"CEO, Chief Executive Officer",,,,,
16245,1378946,US AUTO PARTS NETWORK INC,"CFO, Chief Financial Officer",,,,,
176593,1378950,BERRY GLOBAL GROUP INC,"CEO, Chief Executive Officer",,,,,
176593,1378950,BERRY GLOBAL GROUP INC,"CFO, Chief Financial Officer",,,,,
180483,1378992,NANOVIRICIDES INC,"CEO, Chief Executive Officer",,,,,
180483,1378992,NANOVIRICIDES INC,"CFO, Chief Financial Officer",,,,,
160997,1379006,GAZIT GLOBE,"CEO, Chief Executive Officer",,,,,
160997,1379006,GAZIT GLOBE,"CFO, Chief Financial Officer",,,,,
243145,1379009,EMPLOYERS HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
243145,1379009,EMPLOYERS HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
176591,1379041,PEARTRACK SECURITY SYSTEMS,"CEO, Chief Executive Officer",,,,,
176591,1379041,PEARTRACK SECURITY SYSTEMS,"CFO, Chief Financial Officer",,,,,
176706,1379245,TARGA RESOURCES PARTNERS LP,"CEO, Chief Executive Officer",,,,,
176706,1379245,TARGA RESOURCES PARTNERS LP,"CFO, Chief Financial Officer",,,,,
176659,1379661,BARINGS BDC INC,"CEO, Chief Executive Officer",,,,,
176659,1379661,BARINGS BDC INC,"CFO, Chief Financial Officer",,,,,
176725,1379785,DYNEGY INC,"CEO, Chief Executive Officer",,,,,
176725,1379785,DYNEGY INC,"CFO, Chief Financial Officer",,,,,
25495,1379895,INFRAX SYSTEMS INC,"CEO, Chief Executive Officer",,,,,
25495,1379895,INFRAX SYSTEMS INC,"CFO, Chief Financial Officer",,,,,
179221,1380277,FORTRESS INVESTMENT GRP LLC,"CEO, Chief Executive Officer",,,,,
179221,1380277,FORTRESS INVESTMENT GRP LLC,"CFO, Chief Financial Officer",,,,,
176595,1380393,HFF INC,"CEO, Chief Executive Officer",,,,,
176595,1380393,HFF INC,"CFO, Chief Financial Officer",,,,,
176592,1380509,TRISTATE CAPITAL HLDGS INC,"CEO, Chief Executive Officer",,,,,
176592,1380509,TRISTATE CAPITAL HLDGS INC,"CFO, Chief Financial Officer",,,,,
17696,1380846,FUWEI FILMS HOLDINGS CO,"CEO, Chief Executive Officer",,,,,
17696,1380846,FUWEI FILMS HOLDINGS CO,"CFO, Chief Financial Officer",,,,,
176304,1381074,PLASTIC2OIL INC,"CEO, Chief Executive Officer",,,,,
176304,1381074,PLASTIC2OIL INC,"CFO, Chief Financial Officer",,,,,
178876,1381105,INTERACTIVE BROKERS GROUP,"CEO, Chief Executive Officer",,,,,
178876,1381105,INTERACTIVE BROKERS GROUP,"CFO, Chief Financial Officer",,,,,
176701,1381197,GIGGLES N' HUGS INC,"CEO, Chief Executive Officer",,,,,
176701,1381197,GIGGLES N' HUGS INC,"CFO, Chief Financial Officer",,,,,
170422,1381435,DOMTAR CORP,"CEO, Chief Executive Officer",,,,,
170422,1381435,DOMTAR CORP,"CFO, Chief Financial Officer",,,,,
176760,1381531,MELCO RESORTS & ENTERTAINMEN,"CEO, Chief Executive Officer",,,,,
176760,1381531,MELCO RESORTS & ENTERTAINMEN,"CFO, Chief Financial Officer",,,,,
176260,1381640,TFS FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
176260,1381640,TFS FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
176766,1381668,CRUZANI INC,"CEO, Chief Executive Officer",,,,,
176766,1381668,CRUZANI INC,"CFO, Chief Financial Officer",,,,,
184597,1381871,LED MEDICAL DIAGNOSTICS INC,"CEO, Chief Executive Officer",,,,,
184597,1381871,LED MEDICAL DIAGNOSTICS INC,"CFO, Chief Financial Officer",,,,,
308992,1381955,SUTRO BIOPHARMA INC,"CEO, Chief Executive Officer",,,,,
308992,1381955,SUTRO BIOPHARMA INC,"CFO, Chief Financial Officer",,,,,
34065,1382101,TRINA SOLAR LTD,"CEO, Chief Executive Officer",,,,,
34065,1382101,TRINA SOLAR LTD,"CFO, Chief Financial Officer",,,,,
176261,1382158,6D GLOBAL TECHNOLOGIES,"CEO, Chief Executive Officer",,,,,
176261,1382158,6D GLOBAL TECHNOLOGIES,"CFO, Chief Financial Officer",,,,,
181445,1382219,ESSA BANCORP INC,"CEO, Chief Executive Officer",,,,,
181445,1382219,ESSA BANCORP INC,"CFO, Chief Financial Officer",,,,,
176703,1382230,FORTEM RESOURCES INC,"CEO, Chief Executive Officer",,,,,
176703,1382230,FORTEM RESOURCES INC,"CFO, Chief Financial Officer",,,,,
178147,1382231,TEEKAY OFFSHORE PARTNERS LP,"CEO, Chief Executive Officer",,,,,
178147,1382231,TEEKAY OFFSHORE PARTNERS LP,"CFO, Chief Financial Officer",,,,,
176259,1382298,MADALENA ENERGY INC,"CEO, Chief Executive Officer",,,,,
176259,1382298,MADALENA ENERGY INC,"CFO, Chief Financial Officer",,,,,
164218,1382498,TRXADE GROUP INC,"CEO, Chief Executive Officer",,,,,
164218,1382498,TRXADE GROUP INC,"CFO, Chief Financial Officer",,,,,
179507,1382574,REDFIN CORP,"CEO, Chief Executive Officer",,,,,
179507,1382574,REDFIN CORP,"CFO, Chief Financial Officer",,,,,
32102,1382821,OREXIGEN THERAPEUTICS INC,"CEO, Chief Executive Officer",,,,,
32102,1382821,OREXIGEN THERAPEUTICS INC,"CFO, Chief Financial Officer",,,,,
176861,1382911,NAKED BRAND GROUP INC,"CEO, Chief Executive Officer",,,,,
176861,1382911,NAKED BRAND GROUP INC,"CFO, Chief Financial Officer",,,,,
13362,1383097,ATRINSIC INC -OLD,"CEO, Chief Executive Officer",,,,,
13362,1383097,ATRINSIC INC -OLD,"CFO, Chief Financial Officer",,,,,
179360,1383099,ROYALE GLOBE HOLDING INC,"CEO, Chief Executive Officer",,,,,
179360,1383099,ROYALE GLOBE HOLDING INC,"CFO, Chief Financial Officer",,,,,
177920,1383145,COPSYNC INC,"CEO, Chief Executive Officer",,,,,
177920,1383145,COPSYNC INC,"CFO, Chief Financial Officer",,,,,
177949,1383154,COMBIMATRIX CORP,"CEO, Chief Executive Officer",,,,,
177949,1383154,COMBIMATRIX CORP,"CFO, Chief Financial Officer",,,,,
151928,1383183,LOCATION BASED TECHNOLOGIES,"CEO, Chief Executive Officer",,,,,
151928,1383183,LOCATION BASED TECHNOLOGIES,"CFO, Chief Financial Officer",,,,,
176752,1383196,BROADRIDGE FINANCIAL SOLUTNS,"CEO, Chief Executive Officer",,,,,
176752,1383196,BROADRIDGE FINANCIAL SOLUTNS,"CFO, Chief Financial Officer",,,,,
176928,1383312,ARCAN RESOURCES LTD,"CEO, Chief Executive Officer",,,,,
176928,1383312,ARCAN RESOURCES LTD,"CFO, Chief Financial Officer",,,,,
165523,1383334,SEQUANS COMMUNICATIONS  ,"CEO, Chief Executive Officer",,,,,
165523,1383334,SEQUANS COMMUNICATIONS  ,"CFO, Chief Financial Officer",,,,,
186962,1383395,PENNANTPARK INVESTMENT CORP,"CEO, Chief Executive Officer",,,,,
186962,1383395,PENNANTPARK INVESTMENT CORP,"CFO, Chief Financial Officer",,,,,
177216,1383414,GLOBE SPECIALTY METALS INC,"CEO, Chief Executive Officer",,,,,
177216,1383414,GLOBE SPECIALTY METALS INC,"CFO, Chief Financial Officer",,,,,
274165,1383571,CHENIERE ENERGY PARTNERS LP,"CEO, Chief Executive Officer",,,,,
274165,1383571,CHENIERE ENERGY PARTNERS LP,"CFO, Chief Financial Officer",,,,,
176914,1383650,CONATUS PHARMACEUTICALS INC,"CEO, Chief Executive Officer",,,,,
176914,1383650,CONATUS PHARMACEUTICALS INC,"CFO, Chief Financial Officer",,,,,
18161,1383701,NET TALK.COM INC,"CEO, Chief Executive Officer",,,,,
18161,1383701,NET TALK.COM INC,"CFO, Chief Financial Officer",,,,,
183568,1383825,LIFELOCK INC,"CEO, Chief Executive Officer",,,,,
183568,1383825,LIFELOCK INC,"CFO, Chief Financial Officer",,,,,
14032,1383871,LRI HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
14032,1383871,LRI HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
61064,1383875,VERACYTE INC,"CEO, Chief Executive Officer",,,,,
61064,1383875,VERACYTE INC,"CFO, Chief Financial Officer",,,,,
18947,1384101,SMARTHEAT INC,"CEO, Chief Executive Officer",,,,,
18947,1384101,SMARTHEAT INC,"CFO, Chief Financial Officer",,,,,
177031,1384135,KATANGA MINING LTD,"CEO, Chief Executive Officer",,,,,
177031,1384135,KATANGA MINING LTD,"CFO, Chief Financial Officer",,,,,
279398,1384180,RING ENERGY INC,"CEO, Chief Executive Officer",,,,,
279398,1384180,RING ENERGY INC,"CFO, Chief Financial Officer",,,,,
176840,1384195,RAADR INC,"CEO, Chief Executive Officer",,,,,
176840,1384195,RAADR INC,"CFO, Chief Financial Officer",,,,,
178308,1384365,MONOGRAM RESIDENTIAL TRUST,"CEO, Chief Executive Officer",,,,,
178308,1384365,MONOGRAM RESIDENTIAL TRUST,"CFO, Chief Financial Officer",,,,,
21073,1384710,PPX MINING CORP,"CEO, Chief Executive Officer",,,,,
21073,1384710,PPX MINING CORP,"CFO, Chief Financial Officer",,,,,
166286,1384831,RINGCENTRAL INC,"CEO, Chief Executive Officer",,,,,
166286,1384831,RINGCENTRAL INC,"CFO, Chief Financial Officer",,,,,
18630,1384905,CELLCOM ISRAEL LTD,"CEO, Chief Executive Officer",,,,,
18630,1384905,CELLCOM ISRAEL LTD,"CFO, Chief Financial Officer",,,,,
176652,1385145,TE CONNECTIVITY LTD,"CEO, Chief Executive Officer",,,,,
176652,1385145,TE CONNECTIVITY LTD,"CFO, Chief Financial Officer",,,,,
177267,1385157,COVIDIEN PLC,"CEO, Chief Executive Officer",,,,,
177267,1385157,COVIDIEN PLC,"CFO, Chief Financial Officer",,,,,
177264,1385187,DNIB UNWIND INC,"CEO, Chief Executive Officer",,,,,
177264,1385187,DNIB UNWIND INC,"CFO, Chief Financial Officer",,,,,
18535,1385228,CINEMARK HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
